Date,Open,High,Low,Close,Adj Close,Volume,RHT
2015-08-05,79.690002,80.760002,79.690002,80.139999,80.139999,763400,RHT
2015-08-06,80.150002,80.769997,77.489998,77.639999,77.639999,982600,RHT
2015-08-07,77.550003,77.919998,76.830002,77.589996,77.589996,648500,RHT
2015-08-10,78.320000,79.519997,78.239998,79.160004,79.160004,752800,RHT
2015-08-11,78.260002,78.650002,76.680000,77.410004,77.410004,998200,RHT
2015-08-12,76.690002,77.290001,74.820000,77.050003,77.050003,1465700,RHT
2015-08-13,77.220001,77.650002,76.610001,76.970001,76.970001,937000,RHT
2015-08-14,76.860001,78.470001,76.760002,78.320000,78.320000,629100,RHT
2015-08-17,77.800003,79.000000,77.570000,78.779999,78.779999,519800,RHT
2015-08-18,78.900002,79.589996,78.529999,78.660004,78.660004,700700,RHT
2015-08-19,78.379997,78.449997,77.160004,77.510002,77.510002,759500,RHT
2015-08-20,76.989998,77.059998,75.129997,75.129997,75.129997,1356100,RHT
2015-08-21,74.559998,75.129997,72.330002,72.330002,72.330002,1444800,RHT
2015-08-24,67.010002,70.440002,67.010002,69.029999,69.029999,2421500,RHT
2015-08-25,71.269997,71.709999,68.900002,68.959999,68.959999,1876200,RHT
2015-08-26,70.839996,73.139999,69.769997,73.050003,73.050003,2209200,RHT
2015-08-27,73.830002,74.370003,72.820000,74.199997,74.199997,1934600,RHT
2015-08-28,73.769997,74.059998,72.989998,73.860001,73.860001,969100,RHT
2015-08-31,73.120003,73.470001,71.919998,72.209999,72.209999,1718300,RHT
2015-09-01,70.769997,71.690002,69.650002,70.040001,70.040001,2045400,RHT
2015-09-02,70.870003,71.040001,68.459999,70.269997,70.269997,2079800,RHT
2015-09-03,70.580002,70.830002,69.430000,69.680000,69.680000,1386900,RHT
2015-09-04,68.910004,69.529999,68.360001,68.660004,68.660004,1361500,RHT
2015-09-08,69.790001,71.120003,69.370003,71.019997,71.019997,1264700,RHT
2015-09-09,71.529999,71.930000,69.510002,69.660004,69.660004,766600,RHT
2015-09-10,69.470001,70.970001,69.230003,70.370003,70.370003,942000,RHT
2015-09-11,70.639999,70.639999,68.879997,70.529999,70.529999,1859700,RHT
2015-09-14,70.529999,70.580002,69.199997,69.790001,69.790001,1098400,RHT
2015-09-15,70.059998,72.000000,69.629997,71.760002,71.760002,1376100,RHT
2015-09-16,71.660004,71.839996,70.699997,70.989998,70.989998,1054500,RHT
2015-09-17,70.959999,72.309998,70.489998,71.379997,71.379997,1459700,RHT
2015-09-18,71.410004,71.779999,70.019997,71.059998,71.059998,2340300,RHT
2015-09-21,71.660004,73.160004,71.129997,72.720001,72.720001,2952500,RHT
2015-09-22,71.449997,73.199997,70.449997,72.720001,72.720001,3923900,RHT
2015-09-23,72.889999,73.720001,72.349998,73.250000,73.250000,1642400,RHT
2015-09-24,72.910004,73.300003,71.750000,73.160004,73.160004,1584500,RHT
2015-09-25,73.959999,74.500000,72.500000,72.919998,72.919998,1281700,RHT
2015-09-28,72.330002,72.839996,70.680000,70.750000,70.750000,1240700,RHT
2015-09-29,70.750000,71.349998,69.860001,70.489998,70.489998,1574400,RHT
2015-09-30,71.290001,72.209999,70.680000,71.879997,71.879997,1108300,RHT
2015-10-01,71.930000,73.309998,71.650002,73.190002,73.190002,1444800,RHT
2015-10-02,72.260002,73.669998,71.430000,73.620003,73.620003,1525000,RHT
2015-10-05,74.000000,74.449997,73.379997,74.120003,74.120003,1172000,RHT
2015-10-06,74.010002,74.059998,72.660004,72.790001,72.790001,1001900,RHT
2015-10-07,73.099998,74.279999,72.790001,74.169998,74.169998,1230300,RHT
2015-10-08,73.730003,75.160004,72.849998,75.139999,75.139999,1240400,RHT
2015-10-09,75.269997,76.599998,74.580002,76.480003,76.480003,1292800,RHT
2015-10-12,76.330002,76.629997,75.599998,75.980003,75.980003,860200,RHT
2015-10-13,75.589996,76.139999,74.510002,74.720001,74.720001,914500,RHT
2015-10-14,74.639999,75.510002,74.580002,75.120003,75.120003,1815300,RHT
2015-10-15,75.519997,77.809998,75.080002,77.699997,77.699997,1548800,RHT
2015-10-16,78.239998,78.279999,76.809998,77.620003,77.620003,1214600,RHT
2015-10-19,77.250000,78.959999,77.089996,78.900002,78.900002,1873100,RHT
2015-10-20,78.699997,78.800003,77.580002,78.260002,78.260002,1111900,RHT
2015-10-21,78.099998,78.370003,76.750000,76.809998,76.809998,1720200,RHT
2015-10-22,76.529999,78.120003,75.849998,76.970001,76.970001,2273500,RHT
2015-10-23,77.570000,77.570000,75.720001,77.389999,77.389999,1683800,RHT
2015-10-26,77.389999,78.379997,76.989998,77.779999,77.779999,1341100,RHT
2015-10-27,77.720001,78.199997,77.300003,77.870003,77.870003,885500,RHT
2015-10-28,77.879997,79.199997,77.339996,79.080002,79.080002,883100,RHT
