Date,Open,High,Low,Close,Adj Close,Volume,JVA
2015-10-09,4.060000,4.330000,4.030000,4.130000,4.130000,51200,JVA
2015-10-12,4.180000,4.390000,4.100000,4.100000,4.100000,14800,JVA
2015-10-13,4.120000,4.220000,4.010000,4.050000,4.050000,25400,JVA
2015-10-14,4.080000,4.300000,4.060000,4.160000,4.160000,25900,JVA
2015-10-15,4.120000,4.330000,4.120000,4.220000,4.220000,17600,JVA
2015-10-16,4.240000,4.380000,4.140000,4.290000,4.290000,29100,JVA
2015-10-19,4.290000,4.310000,4.200000,4.300000,4.300000,7900,JVA
2015-10-20,4.280000,4.280000,4.110000,4.210000,4.210000,20900,JVA
2015-10-21,4.210000,4.270000,4.110000,4.180000,4.180000,15200,JVA
2015-10-22,4.220000,4.220000,4.100000,4.120000,4.120000,11200,JVA
2015-10-23,4.120000,4.300000,4.120000,4.120000,4.120000,12800,JVA
2015-10-26,4.080000,4.180000,4.080000,4.120000,4.120000,8900,JVA
2015-10-27,4.110000,4.140000,4.000000,4.060000,4.060000,12800,JVA
2015-10-28,4.070000,4.180000,4.050000,4.160000,4.160000,27300,JVA
2015-10-29,4.140000,4.220000,4.090000,4.200000,4.200000,8400,JVA
2015-10-30,4.230000,4.270000,4.180000,4.250000,4.250000,6100,JVA
2015-11-02,4.300000,4.300000,4.120000,4.210000,4.210000,9200,JVA
2015-11-03,4.170000,4.300000,4.130000,4.220000,4.220000,12700,JVA
2015-11-04,4.150000,4.300000,4.150000,4.270000,4.270000,14900,JVA
2015-11-05,4.220000,4.280000,4.190000,4.230000,4.230000,7000,JVA
2015-11-06,4.300000,4.300000,4.100000,4.160000,4.160000,7300,JVA
