Date,Open,High,Low,Close,Adj Close,Volume,MAR
2014-03-24,55.410000,55.810001,54.770000,55.150002,52.583054,3414800,MAR
2014-03-25,55.240002,55.529999,55.139999,55.480000,52.897690,2996700,MAR
2014-03-26,55.700001,56.150002,55.380001,55.580002,52.993042,5368000,MAR
2014-03-27,55.580002,55.580002,54.570000,54.759998,52.211212,4149200,MAR
2014-03-28,54.759998,55.660000,54.759998,55.439999,52.859558,3410500,MAR
2014-03-31,55.849998,56.200001,55.619999,56.020000,53.412560,2800000,MAR
2014-04-01,56.430000,56.990002,56.320000,56.930000,54.280205,2196100,MAR
2014-04-02,56.869999,56.990002,56.520000,56.919998,54.270676,2592800,MAR
2014-04-03,57.110001,57.150002,56.360001,56.590000,53.956032,2287600,MAR
2014-04-04,57.020000,57.139999,55.740002,55.799999,53.202805,3727100,MAR
2014-04-07,55.650002,56.189999,55.299999,55.799999,53.202805,3518500,MAR
2014-04-08,55.950001,56.130001,55.400002,55.930000,53.326759,4702900,MAR
2014-04-09,56.240002,56.930000,56.070000,56.669998,54.032307,2631800,MAR
2014-04-10,57.250000,57.250000,55.209999,55.320000,52.745144,3540900,MAR
2014-04-11,55.150002,55.869999,55.000000,55.299999,52.726067,2862100,MAR
2014-04-14,55.740002,55.869999,55.119999,55.419998,52.840485,2055500,MAR
2014-04-15,55.490002,56.130001,55.000000,56.099998,53.488842,2576300,MAR
2014-04-16,56.730000,56.730000,55.810001,56.200001,53.584179,2002400,MAR
2014-04-17,56.560001,56.580002,56.119999,56.250000,53.631859,1311700,MAR
2014-04-21,56.369999,56.520000,55.990002,56.240002,53.622318,1150000,MAR
2014-04-22,56.169998,57.119999,56.169998,57.049999,54.394623,1418500,MAR
2014-04-23,56.959999,57.380001,56.709999,57.209999,54.547169,1663000,MAR
2014-04-24,57.500000,57.849998,57.290001,57.630001,54.947628,2398400,MAR
2014-04-25,57.570000,57.650002,57.060001,57.230000,54.566235,2814100,MAR
2014-04-28,57.180000,57.320000,55.150002,55.970001,53.364895,3803200,MAR
2014-04-29,56.200001,56.680000,55.830002,56.619999,53.984631,2933200,MAR
2014-04-30,57.279999,58.380001,57.000000,57.930000,55.233665,4419400,MAR
2014-05-01,57.869999,58.570000,57.840000,58.549999,55.824795,3077800,MAR
2014-05-02,58.299999,59.310001,58.200001,59.090000,56.339668,3612200,MAR
2014-05-05,59.020000,59.029999,58.270000,58.880001,56.139439,2025800,MAR
2014-05-06,58.880001,58.900002,57.970001,58.000000,55.300400,2756000,MAR
2014-05-07,57.320000,58.119999,57.240002,58.110001,55.405293,3219800,MAR
2014-05-08,58.169998,58.669998,57.610001,57.889999,55.195530,1925600,MAR
2014-05-09,58.209999,58.299999,57.509998,58.169998,55.462486,2412400,MAR
2014-05-12,58.529999,59.540001,58.500000,59.220001,56.463623,1546200,MAR
2014-05-13,59.180000,59.389999,58.790001,58.869999,56.129910,1862900,MAR
2014-05-14,58.880001,58.970001,58.430000,58.580002,55.853413,1101600,MAR
2014-05-15,58.529999,58.529999,57.349998,57.930000,55.233665,1504400,MAR
2014-05-16,57.939999,58.360001,57.730000,58.349998,55.634106,1529400,MAR
